model,condition,accuracy,completeness,safety,concordance,hallucination,safety_violation,condition_label
claude-sonnet,mdt_rag,4.52,4.64,4.74,4.5,0.05,0.02,MDT + RAG
claude-sonnet,mdt_zeroshot,4.58,4.68,4.76,4.57,0.05,0.02,MDT (Zero-shot)
claude-sonnet,single_rag,4.15,4.08,4.66,4.16,0.06,0.07,Single + RAG
claude-sonnet,single_zeroshot,4.5,4.5,4.76,4.48,0.04,0.03,Single (Zero-shot)
deepseek-r1,mdt_rag,4.44,4.58,4.68,4.44,0.08,0.05,MDT + RAG
deepseek-r1,mdt_zeroshot,4.54,4.72,4.71,4.54,0.04,0.05,MDT (Zero-shot)
deepseek-r1,single_rag,4.17,4.04,4.66,4.16,0.05,0.05,Single + RAG
deepseek-r1,single_zeroshot,4.49,4.57,4.75,4.5,0.08,0.05,Single (Zero-shot)
gpt-4o-mini,mdt_rag,3.84,3.89,4.27,3.84,0.12,0.09,MDT + RAG
gpt-4o-mini,mdt_zeroshot,3.81,3.89,4.28,3.8,0.1,0.1,MDT (Zero-shot)
gpt-4o-mini,single_rag,3.72,3.53,4.36,3.72,0.06,0.06,Single + RAG
gpt-4o-mini,single_zeroshot,3.82,3.61,4.4,3.82,0.05,0.07,Single (Zero-shot)
llama-3.3-70b,mdt_rag,3.64,3.66,4.3,3.64,0.18,0.12,MDT + RAG
llama-3.3-70b,mdt_zeroshot,3.52,3.68,4.11,3.54,0.12,0.16,MDT (Zero-shot)
llama-3.3-70b,single_rag,3.5,3.34,4.34,3.5,0.06,0.07,Single + RAG
llama-3.3-70b,single_zeroshot,3.63,3.62,4.29,3.63,0.07,0.13,Single (Zero-shot)
