question_id,domain,difficulty,model,condition,judge,accuracy,completeness,safety,concordance,hallucination,safety_violation,rationale
Q017,D6_Follow_Up,Easy,gpt-4o-mini,mdt_zeroshot,gpt-4o-mini,4,5,5,4,0,0,"The AI response accurately reflects the recommended surveillance schedule and includes key clinical points, but it slightly deviates from the guideline by suggesting clinical evaluations every 3-6 months instead of the more standard approach of every 6 months. Overall, it is comprehensive and safe."
Q017,D6_Follow_Up,Easy,gpt-4o-mini,mdt_zeroshot,claude-sonnet,4,3,5,4,0,0,"The AI response correctly recommends chest CT every 6 months for 2 years then annually, aligning with NCCN guidelines. However, it misses key elements including the explicit statement that PET-CT is not routinely recommended for surveillance, annual low-dose CT after 5 years for lung cancer screening, brain MRI guidance, vaccination recommendations, and monitoring for second primary cancers. The clinical evaluation frequency of 'every 3-6 months' is vague compared to the guideline's 6-month standard. No safety violations or hallucinations detected."
Q017,D6_Follow_Up,Easy,gpt-4o-mini,mdt_rag,gpt-4o-mini,4,5,5,4,0,0,"The AI response is mostly accurate but slightly deviates from the gold standard by suggesting follow-up visits every 3-6 months instead of strictly every 6 months for the first 2 years, which could lead to less frequent monitoring than recommended. However, it covers all key points and does not contain any harmful recommendations."
Q017,D6_Follow_Up,Easy,gpt-4o-mini,mdt_rag,claude-sonnet,4,4,5,4,1,0,"The AI response is largely accurate and guideline-concordant, recommending appropriate surveillance intervals (every 6 months for 2 years, then annually). However, it contains a hallucination by citing 'NCCN Guidelines Version 5.2026' (a future/non-existent version), and suggests more frequent visits (every 3-6 months) than the gold standard's 6-month interval. The response appropriately covers most key surveillance elements but could be more explicit about contrast-enhanced CT and avoiding routine PET-CT."
Q018,D6_Follow_Up,Medium,gpt-4o-mini,single_zeroshot,gpt-4o-mini,3,3,5,3,0,0,"The AI response contains some accurate recommendations for follow-up and surveillance but lacks specific details on brain MRI monitoring and the importance of not continuing durvalumab beyond 12 months, which are critical points in the gold-standard answer. Overall, it is mostly correct but misses some key elements."
Q018,D6_Follow_Up,Medium,gpt-4o-mini,single_zeroshot,claude-sonnet,3,2,4,3,0,0,"The AI response correctly recommends surveillance with CT imaging and follow-up intervals broadly aligned with guidelines, but misses critical elements including brain MRI surveillance (high-risk for brain metastases in stage III), monitoring for late immune-related adverse events specific to durvalumab, and radiation-related toxicity assessment. The imaging frequency is less specific than guideline recommendations (every 3-6 months initially per NCCN), and the response lacks mention of pulmonary function monitoring after combined chemoradiation."
Q018,D6_Follow_Up,Medium,gpt-4o-mini,single_rag,gpt-4o-mini,4,4,5,4,0,0,"The AI response accurately outlines the need for surveillance and supportive care but lacks specific details on the recommended imaging schedule and monitoring for late immune-related adverse events, which are critical components of the gold-standard answer."
Q018,D6_Follow_Up,Medium,gpt-4o-mini,single_rag,claude-sonnet,4,3,4,4,0,0,"The AI response correctly recommends surveillance with appropriate CT imaging intervals and correctly states no further systemic therapy is needed. However, it misses critical elements from the gold standard including brain MRI surveillance (high-risk for brain metastases in stage III), specific monitoring for late immune-related adverse events, and radiation-related toxicity assessment, reducing completeness score."
Q018,D6_Follow_Up,Medium,gpt-4o-mini,mdt_zeroshot,gpt-4o-mini,5,5,5,5,0,0,"The AI response accurately reflects the key recommendations for post-durvalumab management, including appropriate surveillance imaging, monitoring for late effects, and the consensus on not continuing durvalumab beyond 12 months. It aligns well with current guidelines and does not contain any harmful recommendations or fabricated information."
Q018,D6_Follow_Up,Medium,gpt-4o-mini,mdt_zeroshot,claude-sonnet,4,3,4,4,0,0,"The AI response correctly recommends surveillance with appropriate CT imaging intervals and correctly states no further durvalumab beyond 12 months. However, it omits critical elements from the gold standard: brain MRI surveillance (high-risk for brain metastases in stage III), specific monitoring for late immune-related adverse events post-immunotherapy, and radiation-related toxicity assessment. The response is guideline-concordant but incomplete regarding comprehensive post-treatment monitoring."
Q018,D6_Follow_Up,Medium,gpt-4o-mini,mdt_rag,gpt-4o-mini,4,4,5,4,0,0,"The AI response is mostly accurate and covers key points, but it slightly deviates from the specific imaging frequency recommended in the gold-standard answer. It does not mention the specific recommendation against continuing durvalumab beyond 12 months, which is a critical point in the management of this patient."
Q018,D6_Follow_Up,Medium,gpt-4o-mini,mdt_rag,claude-sonnet,3,3,4,3,0,0,"The AI response correctly recommends surveillance and monitoring for immune-related adverse events, but has significant gaps: it omits brain MRI surveillance (critical for stage III NSCLC), provides less frequent CT imaging than guideline-recommended (6-12 months vs. 3-6 months), and lacks specific mention of radiation-related toxicity monitoring and pulmonary function assessment. The imaging frequency discrepancy and missing brain surveillance represent important but not dangerous omissions."
Q019,D6_Follow_Up,Hard,gpt-4o-mini,single_zeroshot,gpt-4o-mini,5,4,5,5,0,0,"The AI response accurately reflects the recommendation to continue lorlatinib treatment and addresses fertility concerns appropriately. However, it lacks mention of the need for regular imaging surveillance, which is a key point in the gold-standard answer."
Q019,D6_Follow_Up,Hard,gpt-4o-mini,single_zeroshot,claude-sonnet,5,3,4,5,0,0,"The AI response correctly recommends continuing lorlatinib indefinitely and appropriately addresses fertility preservation with specialist referral. However, it misses key details including specific contraception requirements during treatment, the teratogenic risk of lorlatinib, psychosocial support needs, and detailed surveillance imaging schedules (CT every 8-12 weeks, brain MRI every 6-12 months), reducing completeness score."
Q019,D6_Follow_Up,Hard,gpt-4o-mini,single_rag,gpt-4o-mini,5,5,5,5,0,0,"The AI response accurately reflects the need for continued lorlatinib treatment and appropriately addresses fertility concerns, aligning well with current guidelines. It covers all key clinical points, ensuring patient safety and adherence to established protocols."
Q019,D6_Follow_Up,Hard,gpt-4o-mini,single_rag,claude-sonnet,4,3,4,4,0,0,"The AI correctly recommends continuing lorlatinib and appropriately refers for fertility preservation, aligning with guidelines. However, it misses critical specifics: explicit statement that discontinuation is NOT recommended per standard of care, mandatory contraception requirements during treatment, specific monitoring intervals (CT every 8-12 weeks, brain MRI every 6-12 months), and the practical limitation that indefinite treatment poses for fertility preservation timing."
Q019,D6_Follow_Up,Hard,gpt-4o-mini,mdt_zeroshot,gpt-4o-mini,5,5,5,5,0,0,"The AI response accurately reflects the recommendations for treatment continuation and fertility concerns in line with current guidelines, covering all key clinical points without any harmful suggestions or fabricated information."
Q019,D6_Follow_Up,Hard,gpt-4o-mini,mdt_zeroshot,claude-sonnet,4,3,3,4,0,0,"The AI correctly recommends continuing lorlatinib indefinitely and addresses fertility preservation, aligning with guidelines. However, it omits critical safety information about teratogenicity and mandatory contraception during treatment, and suggests overly frequent imaging (every 3 months vs. guideline 8-12 weeks for CT, 6-12 months for brain MRI). The response lacks specific contraception counseling and post-discontinuation timelines, which are essential safety elements in the gold standard."
Q019,D6_Follow_Up,Hard,gpt-4o-mini,mdt_rag,gpt-4o-mini,5,5,5,5,0,0,"The AI response accurately reflects the recommendations for treatment continuation and fertility concerns, aligns with current guidelines, and addresses all key clinical points without any harmful suggestions or fabricated information."
Q019,D6_Follow_Up,Hard,gpt-4o-mini,mdt_rag,claude-sonnet,4,3,3,4,0,0,"The AI correctly recommends continuing lorlatinib indefinitely and appropriately refers for fertility preservation, aligning with guidelines. However, it misses critical safety details about lorlatinib's teratogenicity, mandatory contraception requirements, and specific brain MRI surveillance intervals for ALK+ NSCLC, and the imaging frequency (3-6 months) is more frequent than standard (8-12 weeks initially, then less frequent)."
Q020,D3_First_Line,Hard,gpt-4o-mini,single_zeroshot,gpt-4o-mini,4,4,5,4,0,0,"The AI response accurately recommends pembrolizumab based on PD-L1 expression and considers the patient's performance status and comorbidities. However, it lacks mention of renal dosing considerations for carboplatin and the importance of a comprehensive geriatric assessment, which are critical in this frail patient population."
Q020,D3_First_Line,Hard,gpt-4o-mini,single_zeroshot,claude-sonnet,4,3,3,4,1,0,"The AI correctly recommends pembrolizumab monotherapy for high PD-L1 expression, which is guideline-concordant. However, it contains a hallucination (states pembrolizumab is given every 3 weeks when 400mg Q6W dosing exists for rural access), misses critical safety considerations (pneumonitis risk with COPD, renal dosing for CKD, goals of care discussion), and doesn't mention alternative options like best supportive care or the Q6W dosing schedule that would specifically address rural access barriers."
Q020,D3_First_Line,Hard,gpt-4o-mini,single_rag,gpt-4o-mini,5,5,5,5,0,0,"The AI response accurately reflects the treatment considerations for a patient with stage IV lung adenocarcinoma and PD-L1 TPS 55%, aligning with current guidelines. It comprehensively addresses the patient's comorbidities, access to care, and the importance of supportive care, ensuring patient safety and adherence to best practices."
Q020,D3_First_Line,Hard,gpt-4o-mini,single_rag,claude-sonnet,4,3,3,4,0,0,"The AI correctly recommends pembrolizumab monotherapy for high PD-L1 expression and acknowledges comorbidity considerations, but fails to mention the Q6W dosing schedule that would specifically address rural access issues, misses alternative treatment options (single-agent chemotherapy, best supportive care discussion), omits geriatric assessment recommendation, and doesn't adequately address specific safety concerns like pneumonitis risk with COPD or renal dosing considerations for CKD stage 3."
Q020,D3_First_Line,Hard,gpt-4o-mini,mdt_zeroshot,gpt-4o-mini,3,4,4,3,0,0,"The AI response correctly identifies pembrolizumab as a treatment option but inaccurately suggests a dosing schedule of 200 mg every 3 weeks instead of the preferred 400 mg every 6 weeks. It covers many key points but lacks emphasis on renal dosing considerations and comprehensive geriatric assessment, which are crucial for this patient."
Q020,D3_First_Line,Hard,gpt-4o-mini,mdt_zeroshot,claude-sonnet,4,3,3,4,0,0,"The AI correctly recommends pembrolizumab monotherapy for PD-L1 ≥50%, which is guideline-concordant. However, it misses the Q6W dosing option (400mg every 6 weeks) that would specifically address rural access barriers, fails to discuss renal dosing considerations for CKD stage 3, doesn't adequately address increased pneumonitis risk with COPD, and omits discussion of best supportive care as a reasonable option for PS 2 patients. The 200mg Q3W dosing is correct but not optimal for this patient's access issues."
Q020,D3_First_Line,Hard,gpt-4o-mini,mdt_rag,gpt-4o-mini,3,4,4,3,0,0,"The AI response correctly identifies pembrolizumab as a treatment option but inaccurately suggests a dosing schedule of 200 mg every 3 weeks instead of the preferred 400 mg every 6 weeks. It covers many key points but lacks emphasis on renal dosing considerations and comprehensive geriatric assessment, which are crucial for this patient profile."
Q020,D3_First_Line,Hard,gpt-4o-mini,mdt_rag,claude-sonnet,4,3,3,4,0,0,"The AI correctly recommends pembrolizumab monotherapy for PD-L1 ≥50%, which is guideline-concordant. However, it misses the Q6W dosing option (400mg every 6 weeks) that would specifically address rural access barriers, fails to discuss renal dosing considerations for CKD stage 3, doesn't mention increased pneumonitis risk with COPD, and omits the importance of comprehensive geriatric assessment and goals of care discussion—all critical for this frail PS 2 patient."
