question_id,domain,difficulty,model,condition,judge,accuracy,completeness,safety,concordance,hallucination,safety_violation,rationale
Q001,D1_Diagnosis_Screening,Easy,heterogeneous,mdt_zeroshot_hetero,gpt-4o-mini,5,5,5,5,0,0,"The AI response accurately reflects the NCCN criteria for lung cancer screening, covers all relevant clinical points including smoking cessation and shared decision-making, and does not contain any harmful recommendations or hallucinations."
Q001,D1_Diagnosis_Screening,Easy,heterogeneous,mdt_rag_hetero,gpt-4o-mini,5,5,5,5,0,0,"The AI response accurately reflects the NCCN criteria for lung cancer screening, covers all relevant clinical points, and emphasizes the importance of smoking cessation without any harmful recommendations or hallucinations."
Q002,D1_Diagnosis_Screening,Medium,heterogeneous,mdt_zeroshot_hetero,gpt-4o-mini,5,5,5,5,0,0,"The AI response accurately follows the Fleischner Society guidelines for managing a part-solid GGN, covering all key points including follow-up imaging, risk stratification based on solid component size, and appropriate management strategies. There are no harmful recommendations or hallucinations present."
Q002,D1_Diagnosis_Screening,Medium,heterogeneous,mdt_rag_hetero,gpt-4o-mini,4,5,5,4,0,0,"The AI response accurately reflects the management of a part-solid GGN according to guidelines, with minor deviations in the timing of follow-up CT. It covers all key clinical points and does not contain harmful recommendations or hallucinations."
Q003,D1_Diagnosis_Screening,Hard,heterogeneous,mdt_zeroshot_hetero,gpt-4o-mini,5,5,5,5,0,0,"The AI response accurately reflects the recommended diagnostic workup for the patient, including tissue acquisition, molecular testing, and staging, all in accordance with current guidelines. It covers all key clinical points without any harmful recommendations or hallucinations."
Q003,D1_Diagnosis_Screening,Hard,heterogeneous,mdt_rag_hetero,gpt-4o-mini,5,5,5,5,0,0,"The AI response accurately reflects the recommended diagnostic workup for the patient, including appropriate imaging, tissue acquisition methods, and molecular testing, all of which align with current guidelines. There are no factual inaccuracies or safety violations present."
Q004,D2_Staging_Molecular,Easy,heterogeneous,mdt_zeroshot_hetero,gpt-4o-mini,5,5,5,5,0,0,"The AI response accurately reflects the current guidelines for molecular biomarker testing in non-squamous NSCLC, covering all essential and recommended biomarkers, and emphasizes the importance of comprehensive testing before treatment initiation, aligning perfectly with the gold-standard answer."
Q004,D2_Staging_Molecular,Easy,heterogeneous,mdt_rag_hetero,gpt-4o-mini,5,5,5,5,0,0,"The AI response accurately lists all key molecular biomarkers recommended for testing in non-squamous NSCLC according to current guidelines, covers the importance of comprehensive testing, and emphasizes the need to wait for results before initiating systemic therapy, ensuring patient safety."
Q005,D2_Staging_Molecular,Medium,heterogeneous,mdt_zeroshot_hetero,gpt-4o-mini,4,4,5,4,0,0,"The AI response accurately addresses the need for PD-L1 testing and provides a reasonable treatment plan, but it introduces a neoadjuvant approach that is not universally accepted for stage IIB squamous cell carcinoma, which slightly detracts from its alignment with guidelines. Overall, it is mostly correct and safe."
Q005,D2_Staging_Molecular,Medium,heterogeneous,mdt_rag_hetero,gpt-4o-mini,4,4,5,4,0,0,"The AI response accurately addresses the need for PD-L1 testing and provides a comprehensive treatment plan, but it includes some recommendations (like neoadjuvant therapy) that are not standard for all patients with stage IIB squamous cell carcinoma, which slightly affects its accuracy and completeness."
Q006,D2_Staging_Molecular,Hard,heterogeneous,mdt_zeroshot_hetero,gpt-4o-mini,4,4,5,4,0,0,"The AI response accurately identifies key resistance mechanisms and treatment options, but it lacks some specificity regarding the probabilities of resistance mechanisms and does not mention the potential need for tissue biopsy in cases of histologic transformation. Overall, it is mostly aligned with guidelines and does not present any harmful recommendations."
Q006,D2_Staging_Molecular,Hard,heterogeneous,mdt_rag_hetero,gpt-4o-mini,4,4,5,4,0,0,"The AI response accurately identifies key resistance mechanisms and treatment options, but it includes some less common alterations (e.g., EGFR amplification) that are not typically prioritized. Overall, it aligns well with guidelines but lacks some specificity in treatment recommendations for certain scenarios."
Q007,D3_First_Line,Easy,heterogeneous,mdt_zeroshot_hetero,gpt-4o-mini,5,5,5,5,0,0,"The AI response accurately recommends osimertinib as the first-line therapy for the patient, aligns with current guidelines, and provides a comprehensive rationale that covers all key clinical points without any harmful suggestions or hallucinations."
Q007,D3_First_Line,Easy,heterogeneous,mdt_rag_hetero,gpt-4o-mini,5,5,5,5,0,0,"The AI response accurately recommends osimertinib as the first-line therapy, aligns with current guidelines, and provides a comprehensive rationale for treatment selection without any harmful suggestions or hallucinations."
Q008,D3_First_Line,Medium,heterogeneous,mdt_zeroshot_hetero,gpt-4o-mini,5,5,5,5,0,0,"The AI response accurately recommends pembrolizumab monotherapy, aligns with current guidelines, and thoroughly discusses the rationale and alternative options, ensuring patient safety and adherence to evidence-based practices."
Q008,D3_First_Line,Medium,heterogeneous,mdt_rag_hetero,gpt-4o-mini,5,5,5,5,0,0,"The AI response accurately reflects the optimal treatment for the patient based on high PD-L1 expression and absence of actionable mutations, aligning perfectly with current guidelines. It covers all relevant clinical points and does not present any harmful recommendations."
Q009,D3_First_Line,Hard,heterogeneous,mdt_zeroshot_hetero,gpt-4o-mini,3,4,5,3,0,0,"The AI response contains some accurate treatment recommendations but incorrectly prioritizes adagrasib as first-line therapy over the established standard of care, which is platinum-based chemotherapy with pembrolizumab. It does cover key points regarding brain metastasis management and monitoring, but the rationale for the treatment choice lacks alignment with current guidelines, leading to a lower score in accuracy and concordance."
Q009,D3_First_Line,Hard,heterogeneous,mdt_rag_hetero,gpt-4o-mini,3,4,5,3,0,0,"The AI response correctly identifies SRS for brain metastasis management and discusses systemic therapy options, but it inaccurately prioritizes adagrasib + pembrolizumab as first-line therapy without acknowledging the current standard of care for KRAS G12C+ NSCLC, which is chemotherapy with pembrolizumab. While it provides a reasonable alternative, it lacks clarity on the first-line treatment landscape and the emerging data for adagrasib."
Q010,D3_First_Line,Medium,heterogeneous,mdt_zeroshot_hetero,gpt-4o-mini,5,5,5,5,0,0,"The AI response accurately reflects the standard first-line treatment for ES-SCLC, including the preferred regimens and rationale for drug selection. It covers all key clinical points, aligns with current guidelines, and poses no safety concerns."
Q010,D3_First_Line,Medium,heterogeneous,mdt_rag_hetero,gpt-4o-mini,5,5,5,5,0,0,"The AI response accurately reflects the standard first-line treatment for ES-SCLC, including the correct chemotherapy regimen and maintenance therapy, aligns with current guidelines, and does not contain any harmful recommendations or fabricated information."
Q011,D4_Subsequent_Resistance,Medium,heterogeneous,mdt_zeroshot_hetero,gpt-4o-mini,5,5,5,5,0,0,"The AI response accurately reflects the recommended approach for managing progression on alectinib, including the necessity for re-biopsy and molecular profiling, and correctly identifies lorlatinib as the preferred next-line therapy. It comprehensively covers key clinical points and aligns with current guidelines without any harmful recommendations or hallucinations."
Q011,D4_Subsequent_Resistance,Medium,heterogeneous,mdt_rag_hetero,gpt-4o-mini,5,5,5,5,0,0,"The AI response accurately reflects the recommended approach for managing progression on alectinib, including the need for biopsy and molecular profiling, and correctly identifies lorlatinib as the next-line therapy, aligning with current guidelines."
Q012,D4_Subsequent_Resistance,Hard,heterogeneous,mdt_zeroshot_hetero,gpt-4o-mini,5,5,5,5,0,0,"The AI response accurately reflects the management of small cell transformation in EGFR-mutant NSCLC, aligns with current guidelines, and includes comprehensive treatment and supportive care recommendations without any harmful suggestions."
Q012,D4_Subsequent_Resistance,Hard,heterogeneous,mdt_rag_hetero,gpt-4o-mini,5,5,5,5,0,0,"The AI response accurately reflects the management of SCLC transformation in EGFR-mutant NSCLC, aligns with current guidelines, and includes appropriate recommendations for chemotherapy, discontinuation of osimertinib, and avoidance of immunotherapy, ensuring patient safety."
Q013,D4_Subsequent_Resistance,Medium,heterogeneous,mdt_zeroshot_hetero,gpt-4o-mini,5,5,5,5,0,0,"The AI response accurately reflects the recommended second-line treatment options for stage IV NSCLC, including the importance of re-biopsy and molecular profiling, and aligns with current guidelines. It covers all key clinical points and does not contain any harmful recommendations."
Q013,D4_Subsequent_Resistance,Medium,heterogeneous,mdt_rag_hetero,gpt-4o-mini,5,5,5,5,0,0,"The AI response accurately reflects the recommended second-line treatment options for the patient, including docetaxel with ramucirumab, and appropriately discusses alternative options and contraindications, aligning well with current guidelines."
Q014,D5_Adverse_Events,Easy,heterogeneous,mdt_zeroshot_hetero,gpt-4o-mini,5,5,5,5,0,0,"The AI response accurately reflects the management of Grade 2 immune-related colitis according to current guidelines, covering all key aspects including immediate actions, pharmacologic management, and considerations for endoscopy. There are no harmful recommendations or hallucinations present."
Q014,D5_Adverse_Events,Easy,heterogeneous,mdt_rag_hetero,gpt-4o-mini,3,4,4,3,0,0,"The AI response contains some inaccuracies regarding the grading of colitis and the management of immunotherapy, particularly in the escalation pathway. While it covers many key points, it does not fully align with the gold-standard answer regarding the immediate management of suspected Grade 2 colitis, which is critical for patient safety."
Q015,D5_Adverse_Events,Hard,heterogeneous,mdt_zeroshot_hetero,gpt-4o-mini,5,5,5,5,0,0,"The AI response accurately reflects the management of suspected immune-related pneumonitis according to current guidelines, covering all key aspects including treatment discontinuation, corticosteroid dosing, supportive care, and diagnostic workup. There are no inaccuracies or safety violations present."
