id,domain,difficulty,vignette,question,gold_standard_answer,guideline_reference
Q001,D1_Diagnosis_Screening,Easy,"A 55-year-old male, current smoker with a 30-pack-year history, presents for routine health screening. He has no respiratory symptoms. His family history is unremarkable for cancer.",What are the current NCCN criteria for lung cancer screening with low-dose CT (LDCT) in this patient?,"This patient meets NCCN LDCT screening criteria: age 50–80 years and ≥20 pack-year smoking history (current or former smoker who quit within the past 15 years). Annual LDCT screening is recommended. The patient should be counseled on the benefits, limitations, and potential harms including false positives and radiation exposure.",NCCN Lung Cancer Screening v2.2025
Q002,D1_Diagnosis_Screening,Medium,"A 63-year-old female nonsmoker undergoes a chest CT for evaluation of chronic cough. An incidental 9mm part-solid ground-glass nodule (GGN) is discovered in the right upper lobe. No prior imaging is available. She has no history of malignancy.",How should this incidental pulmonary nodule be managed according to Fleischner Society guidelines?,"For a part-solid GGN ≥6mm in a patient without known risk factors, CT follow-up at 3–6 months is recommended to confirm persistence. If the nodule persists, further follow-up CT at approximately 1 year and then annually for a minimum of 5 years is advised. If the solid component grows or exceeds 6mm, tissue sampling (biopsy or surgical excision) should be considered. PET-CT has limited sensitivity for sub-solid nodules.",Fleischner Society 2017; NCCN NSCLC v3.2025 NSCL-2
Q003,D1_Diagnosis_Screening,Hard,"A 48-year-old female, never-smoker, of East Asian descent presents with persistent dry cough for 3 months. Chest CT reveals a 2.5cm spiculated nodule in the left lower lobe with mediastinal lymphadenopathy. She has a family history of lung cancer in her mother (diagnosed at age 52).",What is the recommended diagnostic workup for this patient?,"Given the high-risk features (spiculated nodule, mediastinal lymphadenopathy, family history), tissue diagnosis is essential. Recommended approach: (1) PET-CT for staging; (2) Tissue biopsy—bronchoscopy with EBUS for mediastinal lymph node sampling preferred, or CT-guided transthoracic needle biopsy of the primary lesion; (3) Molecular testing should be reflexively ordered at time of biopsy given her demographics (East Asian, never-smoker) which carry high probability of actionable driver mutations (EGFR, ALK, ROS1); (4) Brain MRI for complete staging. The never-smoker and East Asian demographic strongly suggests adenocarcinoma with potential driver mutation.",NCCN NSCLC v3.2025 NSCL-1; NSCL-3
Q004,D2_Staging_Molecular,Easy,"A 65-year-old male is diagnosed with non-squamous NSCLC (adenocarcinoma) via CT-guided biopsy. Pathology confirms the diagnosis.",What molecular biomarkers should be tested for this patient according to current guidelines?,"For non-squamous NSCLC, broad molecular profiling is recommended. At minimum, testing should include: EGFR mutations (including exon 19 deletions, L858R, T790M, exon 20 insertions), ALK rearrangement, ROS1 rearrangement, BRAF V600E mutation, KRAS G12C mutation, NTRK1/2/3 fusions, METex14 skipping mutation, RET rearrangement, HER2 (ERBB2) mutations, and PD-L1 expression (TPS). Next-generation sequencing (NGS) panel is the preferred approach for comprehensive testing efficiency.",NCCN NSCLC v3.2025 NSCL-5A
Q005,D2_Staging_Molecular,Medium,"A 58-year-old male is diagnosed with stage IIB (T3N0M0) squamous cell carcinoma of the lung. The tumor is located in the right upper lobe with chest wall invasion. PET-CT shows no distant metastases or mediastinal lymph node involvement. ECOG PS is 0.",Is molecular testing indicated for this patient? What is the role of PD-L1 testing?,PD-L1 testing (TPS) is recommended for all NSCLC patients regardless of histology as it may inform adjuvant immunotherapy decisions. For squamous cell carcinoma specifically: broad molecular testing is not routinely recommended but may be considered in certain clinical scenarios (never-smokers or light smokers with squamous histology). ALK and EGFR testing may be considered if clinical features suggest adenocarcinoma component. PD-L1 is particularly relevant here as this patient may be a candidate for adjuvant atezolizumab or pembrolizumab following surgical resection and adjuvant chemotherapy if PD-L1 ≥1% (atezolizumab) or ≥50% (pembrolizumab).,NCCN NSCLC v3.2025 NSCL-5A; NSCL-13
Q006,D2_Staging_Molecular,Hard,"A 70-year-old female is diagnosed with NSCLC adenocarcinoma. Initial NGS testing reveals an EGFR L858R mutation. She begins first-line osimertinib. After 14 months, imaging shows disease progression with new liver metastases. A repeat liquid biopsy is performed.",What resistance mechanisms should be investigated on the repeat biopsy? How do the findings guide subsequent treatment?,"Upon progression on osimertinib, the following resistance mechanisms should be assessed: (1) MET amplification (most common, ~15–20%); (2) EGFR C797S mutation; (3) Histologic transformation (SCLC transformation ~5–10%); (4) Off-target alterations (HER2 amplification, BRAF V600E, PIK3CA, RAS mutations, ALK/RET fusions). Liquid biopsy may miss histologic transformation, so tissue re-biopsy should be considered if clinically feasible. Treatment is guided by the identified mechanism: MET amplification → osimertinib + MET inhibitor (capmatinib/tepotinib); C797S in trans → first-generation EGFR TKI combination; SCLC transformation → platinum-etoposide; no identified mechanism → platinum-based chemotherapy ± immunotherapy (if PD-L1 and clinical context support it).",NCCN NSCLC v3.2025 NSCL-22; NSCL-23
Q007,D3_First_Line,Easy,"A 62-year-old male with newly diagnosed stage IV lung adenocarcinoma, EGFR exon 19 deletion positive, PD-L1 TPS 80%, ECOG PS 1, no brain metastases.",What is the recommended first-line systemic therapy for this patient?,"First-line osimertinib (preferred). Despite high PD-L1 expression, EGFR-targeted therapy takes priority over immunotherapy in driver-mutation-positive NSCLC. Osimertinib is the preferred first-line EGFR TKI based on FLAURA trial data demonstrating superior PFS and OS compared to first-generation TKIs. Single-agent immune checkpoint inhibitors and chemo-immunotherapy combinations are NOT recommended for EGFR-mutant NSCLC due to inferior outcomes and increased toxicity risk.",NCCN NSCLC v3.2025 NSCL-18; EGFR-1
Q008,D3_First_Line,Medium,"A 55-year-old female, never-smoker, diagnosed with stage IV lung adenocarcinoma. Molecular testing shows no actionable driver mutations (EGFR, ALK, ROS1, BRAF, KRAS G12C, NTRK, MET, RET, HER2 all negative). PD-L1 TPS is 90%. ECOG PS 0. No contraindications to immunotherapy.",What is the optimal first-line treatment for this patient?,"With PD-L1 TPS ≥50% and no driver mutations, the preferred options include: (1) Pembrolizumab monotherapy (KEYNOTE-024/042 data); (2) Pembrolizumab + platinum + pemetrexed (KEYNOTE-189); (3) Atezolizumab + bevacizumab + carboplatin + paclitaxel (IMpower150, though less commonly used). Given the very high PD-L1 (90%) and good PS, pembrolizumab monotherapy is a reasonable first choice to avoid chemotherapy-related toxicity, with comparable OS to combination regimens in the PD-L1 ≥50% subgroup. However, combination therapy provides higher ORR and may be preferred if rapid tumor response is needed.",NCCN NSCLC v3.2025 NSCL-17; NSCL-G
Q009,D3_First_Line,Hard,"A 68-year-old male, former smoker, diagnosed with stage IV lung adenocarcinoma with synchronous oligometastatic disease (single brain metastasis, 1.5cm, asymptomatic). Molecular testing: KRAS G12C positive. PD-L1 TPS 40%. ECOG PS 1.",What is the recommended treatment approach including management of the brain metastasis?,"This is a complex case requiring multidisciplinary input. (1) Brain metastasis management: stereotactic radiosurgery (SRS) for the single small brain metastasis is preferred over whole-brain radiation. (2) Systemic therapy: For KRAS G12C+ NSCLC with PD-L1 40%, options include: (a) Platinum + pemetrexed + pembrolizumab (KEYNOTE-189; currently standard of care given lack of first-line approval for sotorasib/adagrasib in most settings); (b) CodeBreaK 200 showed sotorasib benefit in second-line, but first-line data (CodeBreaK 300, KRYSTAL-7) are emerging. Per current NCCN guidelines, chemo-immunotherapy remains first-line standard, with sotorasib or adagrasib as category 1 options upon progression. Close MRI surveillance for the treated brain metastasis.",NCCN NSCLC v3.2025 NSCL-17; KRAS-1; NSCL-M
Q010,D3_First_Line,Medium,"A 72-year-old male is diagnosed with extensive-stage small cell lung cancer (ES-SCLC). He has good performance status (ECOG PS 1) and no significant comorbidities. No brain metastases on MRI.",What is the standard first-line treatment for ES-SCLC?,"First-line treatment for ES-SCLC is platinum-based chemotherapy combined with an immune checkpoint inhibitor: (1) Carboplatin/etoposide + atezolizumab (IMpower133; preferred) or (2) Carboplatin/etoposide + durvalumab (CASPIAN). Both are Category 1 recommendations. Treatment is given for 4 cycles of chemo-immunotherapy followed by maintenance immunotherapy (atezolizumab or durvalumab) until progression or unacceptable toxicity. Prophylactic cranial irradiation (PCI) may be considered for patients with good response, though its role is debated in the immunotherapy era. Consolidative thoracic radiation may be considered in select patients.",NCCN SCLC v2.2025 SCL-4
